2026-01-18 14:10:47,750 | INFO     | Ejecutando comando: generate
2026-01-18 14:10:48,800 | INFO     | Logging configurado.
2026-01-18 14:10:51,317 | INFO     | Validación de configuración OK.
2026-01-18 14:10:51,321 | INFO     | Generando cartera sintética con 200 préstamos…
2026-01-18 14:10:52,146 | INFO     | Cartera sintética exportada en: C:\Users\josef\OneDrive - Universidad de Oviedo\Escritorio\optimizador_cartera_std\optimizador_cartera_std\data\portfolio_synth_smoke.xlsx
2026-01-18 14:10:52,897 | INFO     | Ejecutando comando: train
2026-01-18 14:10:53,640 | INFO     | Logging configurado.
2026-01-18 14:10:56,039 | INFO     | Validación de configuración OK.
2026-01-18 14:10:57,038 | INFO     | Iniciando entrenamiento RL (modo=both)
2026-01-18 14:10:57,049 | INFO     | Entrenando subagente MICRO (LoanEnv)…
2026-01-18 14:10:57,049 | INFO     | 🏦 [MICRO] Entrenamiento subagente LoanEnv (nivel préstamo)…
2026-01-18 14:10:57,451 | INFO     | 📥 Cartera cargada (200 préstamos) desde C:\Users\josef\OneDrive - Universidad de Oviedo\Escritorio\optimizador_cartera_std\optimizador_cartera_std\data\portfolio_synth_smoke.xlsx
2026-01-18 14:10:57,459 | INFO     | ⚙️ Dispositivo para LoanEnv: cpu | seed=42
2026-01-18 14:10:59,744 | INFO     | 🚀 Iniciando entrenamiento LoanEnv por 10,000 pasos…
2026-01-18 14:10:59,833 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=111,020 | LGD=0.51 | PD_prob=0.43 | RW_disc=1.50 | DPD=178 | Book=49,839.35 (provided) | Price_neto=10,714.81 | Price/EAD=0.097 | Price/Book=0.215 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,838 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=2,398,824 | LGD=0.65 | PD_prob=0.45 | RW_disc=1.50 | DPD=148 | Book=976,734.27 (provided) | Price_neto=201,970.07 | Price/EAD=0.084 | Price/Book=0.207 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,869 | INFO     | 🪙 Simulación precio NPL → seg=OTHER | EAD=2,309,355 | LGD=0.40 | PD_prob=0.48 | RW_disc=1.50 | DPD=443 | Book=1,194,689.77 (provided) | Price_neto=294,713.81 | Price/EAD=0.128 | Price/Book=0.247 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,872 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=623,124 | LGD=0.40 | PD_prob=0.42 | RW_disc=1.50 | DPD=227 | Book=330,897.07 (provided) | Price_neto=92,292.63 | Price/EAD=0.148 | Price/Book=0.279 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,878 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=23,120,484 | LGD=0.41 | PD_prob=0.40 | RW_disc=1.50 | DPD=211 | Book=10,553,683.28 (provided) | Price_neto=3,669,717.84 | Price/EAD=0.159 | Price/Book=0.348 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,909 | INFO     | 🪙 Simulación precio NPL → seg=MORTGAGE | EAD=234,346 | LGD=0.37 | PD_prob=0.40 | RW_disc=1.00 | DPD=173 | Book=150,266.78 (provided) | Price_neto=54,187.10 | Price/EAD=0.231 | Price/Book=0.361 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,914 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=222,697 | LGD=0.40 | PD_prob=0.42 | RW_disc=1.50 | DPD=342 | Book=96,517.25 (provided) | Price_neto=26,871.85 | Price/EAD=0.121 | Price/Book=0.278 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,925 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=305,395 | LGD=0.40 | PD_prob=0.46 | RW_disc=1.50 | DPD=256 | Book=147,060.61 (provided) | Price_neto=42,913.18 | Price/EAD=0.141 | Price/Book=0.292 | fire_sale=True (thr=0.85)
