n_loans,total_EAD,total_RWA,total_EL,total_EVA,mean_PD,mean_LGD,mean_DPD,quarter,posture,cumul_cured,cumul_redefaulted,capital_released_sales,pnl_sales
445,3588931553.0,5374894423.0,688448932.039875,-625973530.5269375,0.42979775280898874,0.4380327991382852,202.4943820224719,0,prudencial,0,0,33836576.00068789,-166437430.44622374
437,3543689046.0,5307478334.5,710475333.0339673,-632796345.8309836,0.44848970251716247,0.4422450713102195,228.9771167048055,1,prudencial,8,6,33836576.00068789,-166437430.44622374
419,3432794633.0,5141663123.0,715013781.3772138,-625530717.616607,0.4665871121718377,0.44625689096360494,257.4940334128878,2,prudencial,26,8,33836576.00068789,-166437430.44622374
410,3283581801.0,4919057635.5,699512700.7870407,-607583337.2025204,0.48324390243902443,0.44951976513359215,283.57560975609755,3,prudencial,35,8,33836576.00068789,-166437430.44622374
403,3271022274.0,4900603110.5,718556017.9894464,-616180403.3997232,0.5008684863523574,0.45375378259546284,311.96774193548384,4,prudencial,42,8,33836576.00068789,-166437430.44622374
390,3190431203.0,4779892623.0,722813586.6809945,-611955638.3564972,0.5186666666666667,0.45773036043336496,339.7846153846154,5,prudencial,55,10,33836576.00068789,-166437430.44622374
382,3154985307.0,4726938963.0,741137746.3031259,-617840549.106563,0.5363350785340314,0.4620493548128676,365.9607329842932,6,prudencial,63,12,33836576.00068789,-166437430.44622374
373,3082255165.0,4618098031.0,749961078.4588938,-616136161.2764469,0.5550670241286864,0.46612595607192325,392.5093833780161,7,prudencial,72,17,33836576.00068789,-166437430.44622374
363,3043980074.0,4560985149.5,766681076.2248614,-621198980.1024307,0.5725068870523417,0.4700342417318976,418.7878787878788,8,prudencial,82,18,33836576.00068789,-166437430.44622374
332,2152719567.0,3221136088.5,428974091.50828743,-376409052.3781437,0.4223795180722892,0.44175908578463835,171.039156626506,0,balanceado,0,0,134573894.0951079,-594358325.2475471
329,2089648973.0,3126530197.5,409567544.16910505,-364603722.8645525,0.4257142857142857,0.4388353420470363,176.20060790273556,1,balanceado,3,15,134573894.0951079,-594358325.2475471
327,2071293421.0,3099188077.5,406269247.1841865,-362107924.4840932,0.4301223241590214,0.43673987980471674,183.12844036697248,2,balanceado,5,29,134573894.0951079,-594358325.2475471
326,2032555355.0,3041080978.5,398784004.82736695,-357358113.5896835,0.4343865030674846,0.43506622539216755,191.48773006134968,3,balanceado,6,40,134573894.0951079,-594358325.2475471
321,2021751990.0,3025205644.0,406811373.48543084,-360660667.05171543,0.4392834890965733,0.43432640535529965,199.7601246105919,4,balanceado,11,53,134573894.0951079,-594358325.2475471
319,1988306616.0,2975037583.0,403644117.2276583,-357245865.4188291,0.4441379310344828,0.4333095086576105,209.85579937304075,5,balanceado,13,61,134573894.0951079,-594358325.2475471
316,1971022064.0,2949110755.0,406779854.9952874,-358401387.21864367,0.45101265822784803,0.4320551902390393,219.52848101265823,6,balanceado,16,75,134573894.0951079,-594358325.2475471
313,1963643608.0,2938235886.5,412650549.7518135,-360691622.4529067,0.4577316293929712,0.4322186585160909,231.01597444089458,7,balanceado,19,84,134573894.0951079,-594358325.2475471
308,1956811713.0,2928551085.5,417240337.8097775,-362548747.93288875,0.46068181818181825,0.4309460791103614,243.59415584415584,8,balanceado,24,86,134573894.0951079,-594358325.2475471
92,801390261.0,1199513696.0,150841748.0729849,-138870451.42849246,0.41782608695652185,0.4518312114557688,143.44565217391303,0,desinversion,0,0,515203976.17853594,-1022628036.33571
89,768947151.0,1150849031.0,153824664.48302963,-137573674.83051482,0.43662921348314615,0.45782571754471546,171.91011235955057,1,desinversion,3,0,515203976.17853594,-1022628036.33571
87,678541310.0,1015240269.5,145621564.58336198,-124953640.24468103,0.4548275862068966,0.4630604923792044,200.13793103448276,2,desinversion,5,0,515203976.17853594,-1022628036.33571
82,662629490.0,991632484.5,150399073.94591174,-125890414.56195585,0.4725609756097562,0.4686928305668688,230.20731707317074,3,desinversion,10,0,515203976.17853594,-1022628036.33571
79,651374568.0,974750101.5,155882528.63204873,-127638245.90302435,0.49050632911392417,0.4746326227931875,258.36708860759495,4,desinversion,13,0,515203976.17853594,-1022628036.33571
77,650454278.0,973829811.5,163525331.45208803,-131415727.70304403,0.5116883116883116,0.4793418299804369,284.1948051948052,5,desinversion,15,2,515203976.17853594,-1022628036.33571
76,650299235.0,973674768.5,171449714.50030833,-135373422.98015416,0.5297368421052632,0.48466211721702174,310.0131578947368,6,desinversion,16,2,515203976.17853594,-1022628036.33571
75,647168315.0,968978388.5,178847106.00987864,-138730848.45493934,0.5490666666666667,0.4899909454465819,339.02666666666664,7,desinversion,17,2,515203976.17853594,-1022628036.33571
72,537049977.0,803800881.5,157066011.79037747,-119011149.63518874,0.5669444444444446,0.4949428538979049,366.3333333333333,8,desinversion,20,2,515203976.17853594,-1022628036.33571
