tag,posture,scenario,EVA_stressed,RWA_stressed,EL_stressed
pc10_final,prudencial,baseline,-1068025386.0078752,5374894423.0,688448932.039875
pc10_final,prudencial,mild,-1352199891.64045,5912383865.300001,918874493.44245
pc10_final,prudencial,severe,-1894381368.8325624,6718618028.75,1380432554.2895627
pc10_final,prudencial,pricing_crunch,-1068025386.0078752,5374894423.0,688448932.039875
pc10_final,balanceado,baseline,-656368039.4102874,3221136088.5,428974091.50828743
pc10_final,balanceado,mild,-829870819.686345,3543249697.3500004,570265510.8993449
pc10_final,balanceado,severe,-1159495741.462181,4026420110.625,851573391.347681
pc10_final,balanceado,pricing_crunch,-656368039.4102874,3221136088.5,428974091.50828743
pc10_final,desinversion,baseline,-235531946.18898487,1199513696.0,150841748.0729849
pc10_final,desinversion,mild,-298008513.39338183,1319465065.6000001,201323178.31738186
pc10_final,desinversion,severe,-417114714.98722726,1499392120.0,302436674.4712273
pc10_final,desinversion,pricing_crunch,-235531946.18898487,1199513696.0,150841748.0729849
