loan_id,rating,EAD,PD,LGD,RW,book_value,DPD,Accion_final,Reason_Code,Convergencia_Caso,Accion_micro,Accion_macro,Macro_Assignment,EVA_pre,EVA_post,capital_release_cf,capital_release_realized,plazo_optimo,tasa_nueva,quita,acceptance_score,precio_optimo,recovery_sale,pnl_realized,sale_insulting_flag,sale_within_loss_cap,sale_meets_recovery_min,sale_executable,sale_loss_pct,sale_mandate,sale_mandate_reason,valor_referencia,recovery_rate,case_status,next_step,next_step_reason,review_due_days,required_data_flags,override_reason
L000000,B,1411362,0.480000,0.477675,1.500000,716296.907636,347,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-219667.249482,0.000000,222289.515000,222289.515000,,,,43.333333,162855.478261,0.115389,-553441.429374,False,True,True,True,0.884611,True,"TIER2_CAPITAL_PRESSURE(score=3.27|AGE=12m,RECOVERY=11.5%)",716296.907636,0.115389,NORMAL,,,,,
L000001,B,825940,0.480000,0.508844,1.500000,298450.268834,242,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-142988.938358,0.000000,130085.550000,130085.550000,,,,43.333333,80715.267345,0.097725,-217735.001489,False,True,True,True,0.902275,True,"TIER2_CAPITAL_PRESSURE(score=3.07|AGE=8m,RECOVERY=9.8%)",298450.268834,0.097725,NORMAL,,,,,
L000002,CCC,13868974,0.450000,0.579409,1.500000,5060902.793784,115,MANTENER,RC15_VOLUME_CAP_VOLUNTARY_SELL,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-2307339.017713,0.000000,2184363.405000,0.000000,,,,46.845568,1060259.037786,0.076448,0.000000,False,True,True,True,0.923552,False,,5060902.793784,0.076448,HOLD_VOLUME_CAP,ALT_DISPOSAL_OR_WAIT,"SELL_VOLUME_CAP_EXCEEDED(voluntary=367>350, mandates=125 EXEMPT)",90.000000,,VOLUME_CAP_VOLUNTARY_SELL_DOWNGRADED_TO_MAINTAIN
L000003,BB,1178419,0.410000,0.400000,1.500000,579960.136177,162,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-197974.392000,0.000000,185600.992500,185600.992500,,,,43.333333,145132.416515,0.123159,-434827.719662,False,True,True,True,0.876841,False,,579960.136177,0.123159,NORMAL,,,,,
L000004,BB,12814724,0.460000,0.400000,1.500000,5897920.312299,284,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-2152873.632000,0.000000,2018319.030000,2018319.030000,,,,43.333333,1882936.306894,0.146935,-4014984.005405,False,True,True,True,0.853065,False,,5897920.312299,0.146935,NORMAL,,,,,
L000005,B,324794,0.430000,0.447077,1.000000,186667.342822,154,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-41288.319439,0.000000,34103.370000,34103.370000,,,,43.333333,62688.458979,0.193010,-123978.883843,False,True,True,True,0.806990,False,,186667.342822,0.193010,NORMAL,,,,,
L000006,BBB,373025,0.390000,0.400000,1.500000,185781.526740,138,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-63787.275000,0.000000,58751.437500,58751.437500,,,,46.396831,47733.040353,0.127962,-138048.486387,False,True,True,True,0.872038,False,,185781.526740,0.127962,NORMAL,,,,,
L000007,B,244320,0.530000,0.436903,1.500000,99369.869041,541,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-33417.948825,0.000000,38480.400000,38480.400000,,,,43.333333,29047.950516,0.118893,-70321.918525,False,True,True,True,0.881107,True,"TIER1_SEVERE(score=3.72|AGE=18m,RECOVERY=11.9%)",99369.869041,0.118893,NORMAL,,,,,
L000008,BB,28216461,0.410000,0.400000,1.500000,13767035.378041,147,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-5022530.058000,0.000000,4444092.607500,4444092.607500,,,,46.289734,3681546.132470,0.130475,-10085489.245571,False,True,True,True,0.869525,False,,13767035.378041,0.130475,NORMAL,,,,,
L000009,A,3768147,0.370000,0.400000,1.500000,2200964.122283,101,VENDER,RC06_MICRO_SELL_VALUE_NEGATIVE,MACRO_NOT_APPLIED,VENDER,VENDER,NO_ASIGNADO,-689570.901000,0.000000,593483.152500,593483.152500,,,,52.915370,630433.844368,0.167306,-1570530.277915,False,True,True,True,0.832694,False,,2200964.122283,0.167306,NORMAL,,,,,
