loan_id,rating,EAD,PD,LGD,RW,book_value,DPD,Accion_final,Reason_Code,Convergencia_Caso,Accion_micro,Accion_macro,Macro_Assignment,EVA_pre,EVA_post,capital_release_cf,capital_release_realized,plazo_optimo,tasa_nueva,quita,acceptance_score,precio_optimo,recovery_sale,pnl_realized,sale_insulting_flag,sale_within_loss_cap,sale_meets_recovery_min,sale_executable,sale_loss_pct,sale_mandate,sale_mandate_reason,valor_referencia,recovery_rate,case_status,next_step,next_step_reason,review_due_days,required_data_flags,override_reason
L000000,B,1411362,0.480000,0.477675,1.500000,716296.907636,347,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,AGREE_MICRO_MACRO,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,-219667.249482,279931.213438,222289.515000,0.000000,240.000000,0.190000,0.000000,11.102643,162855.478261,0.115389,0.000000,True,False,False,False,0.884611,False,,716296.907636,0.115389,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000001,B,825940,0.480000,0.508844,1.500000,298450.268834,242,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,AGREE_MICRO_MACRO,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,-142988.938358,163714.221388,130085.550000,0.000000,240.000000,0.190000,0.000000,27.000000,80715.267345,0.097725,0.000000,False,False,False,False,0.902275,False,,298450.268834,0.097725,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000002,CCC,13868974,0.450000,0.579409,1.500000,5060902.793784,115,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-2307339.017713,2752995.421385,2184363.405000,0.000000,240.000000,0.190000,0.000000,9.759644,1060259.037786,0.076448,0.000000,True,False,False,False,0.923552,False,,5060902.793784,0.076448,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000003,BB,1178419,0.410000,0.400000,1.500000,579960.136177,162,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-197974.392000,233687.760377,185600.992500,0.000000,240.000000,0.190000,0.000000,27.000000,145132.416515,0.123159,0.000000,False,False,False,False,0.876841,False,,579960.136177,0.123159,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000004,BB,12814724,0.460000,0.400000,1.500000,5897920.312299,284,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-2152873.632000,2543707.482369,2018319.030000,0.000000,240.000000,0.190000,0.000000,5.397198,1882936.306894,0.146935,0.000000,False,False,False,False,0.853065,False,,5897920.312299,0.146935,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000005,B,324794,0.430000,0.447077,1.000000,186667.342822,154,MANTENER,RC05_KEEP_ACCEPTABLE_ECONOMICS,MACRO_NOT_APPLIED,MANTENER,MANTENER,NO_ASIGNADO,-41288.319439,-41288.319439,34103.370000,0.000000,,,,43.333333,62688.458979,0.193010,0.000000,False,True,True,True,0.806990,False,,186667.342822,0.193010,NORMAL,,,,,
L000006,BBB,373025,0.390000,0.400000,1.500000,185781.526740,138,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-63787.275000,73802.296394,58751.437500,0.000000,240.000000,0.190000,0.000000,27.000000,47733.040353,0.127962,0.000000,False,False,False,False,0.872038,False,,185781.526740,0.127962,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000007,B,244320,0.530000,0.436903,1.500000,99369.869041,541,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-33417.948825,48251.995992,38480.400000,0.000000,240.000000,0.190000,0.000000,22.873630,29047.950516,0.118893,0.000000,False,False,False,False,0.881107,False,,99369.869041,0.118893,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000008,BB,28216461,0.410000,0.400000,1.500000,13767035.378041,147,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-5022530.058000,5601234.439846,4444092.607500,0.000000,240.000000,0.190000,0.000000,4.940114,3681546.132470,0.130475,0.000000,False,False,False,False,0.869525,False,,13767035.378041,0.130475,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000009,A,3768147,0.370000,0.400000,1.500000,2200964.122283,101,VENDER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-689570.901000,747796.212725,593483.152500,593483.152500,240.000000,0.190000,0.000000,27.000000,630433.844368,0.167306,-1570530.277915,False,True,True,True,0.832694,False,,2200964.122283,0.167306,NORMAL,,,,,
L000010,A,1603425,0.370000,0.400000,1.500000,772623.668020,157,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-293426.775000,318059.237574,252539.437500,0.000000,240.000000,0.190000,0.000000,27.000000,217816.979826,0.135845,0.000000,False,False,False,False,0.864155,False,,772623.668020,0.135845,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000011,B,150759,0.430000,0.501656,1.000000,88703.863553,172,MANTENER,RC05_KEEP_ACCEPTABLE_ECONOMICS,MACRO_NOT_APPLIED,MANTENER,MANTENER,NO_ASIGNADO,-20933.807204,-20933.807204,15829.695000,0.000000,,,,47.068965,26035.560295,0.172697,0.000000,False,True,True,True,0.827303,False,,88703.863553,0.172697,NORMAL,,,,,
L000012,AA,1774132,0.360000,0.400000,1.500000,1070880.229931,178,VENDER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-317569.628000,351947.704462,279425.790000,279425.790000,240.000000,0.190000,0.000000,27.000000,275236.148502,0.155138,-795644.081429,False,True,True,True,0.844862,False,,1070880.229931,0.155138,NORMAL,,,,,
L000013,BBB,353910,0.390000,0.400000,1.500000,170263.295353,122,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-60518.610000,70007.618704,55740.825000,0.000000,240.000000,0.190000,0.000000,17.706658,45660.936352,0.129018,0.000000,False,False,False,False,0.870982,False,,170263.295353,0.129018,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000014,BBB,1237300,0.390000,0.400000,1.500000,575610.681590,111,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-223951.300000,245376.717589,194874.750000,0.000000,240.000000,0.190000,0.000000,27.000000,169105.984251,0.136673,0.000000,False,False,False,False,0.863327,False,,575610.681590,0.136673,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000015,BBB,1796067,0.390000,0.400000,1.500000,765159.215764,148,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-325088.127000,356302.203815,282880.552500,0.000000,240.000000,0.190000,0.000000,22.483273,240804.453500,0.134073,0.000000,False,False,False,False,0.865927,False,,765159.215764,0.134073,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000016,BBB,1134233,0.390000,0.400000,1.500000,511939.952822,126,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-199625.008000,224916.029881,178641.697500,0.000000,240.000000,0.190000,0.000000,27.000000,146021.547682,0.128740,0.000000,False,False,False,False,0.871260,False,,511939.952822,0.128740,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000017,B,6886344,0.430000,0.433703,1.500000,3231928.812774,92,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-1165487.798731,1102099.249879,1084599.180000,0.000000,240.000000,0.190000,0.050000,0.000000,841703.480920,0.122228,0.000000,False,False,False,False,0.877772,False,,3231928.812774,0.122228,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000018,AAA,36789,0.400000,0.400000,1.500000,17980.555155,208,VENDER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-6033.396000,7053.290482,5794.267500,5794.267500,240.000000,0.190000,0.000000,27.000000,5630.043289,0.153036,-12350.511866,False,True,True,True,0.846964,False,,17980.555155,0.153036,NORMAL,,,,,
L000019,B,3214644,0.480000,0.532640,1.500000,1021387.608645,276,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-558812.773366,637915.726926,506306.430000,0.000000,240.000000,0.190000,0.000000,15.943000,281605.504550,0.087601,0.000000,False,False,False,False,0.912399,False,,1021387.608645,0.087601,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000020,B,806337,0.480000,0.456474,1.500000,383660.652915,188,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-121396.985579,159822.666758,126998.077500,0.000000,240.000000,0.190000,0.000000,27.000000,100696.728486,0.124882,0.000000,False,False,False,False,0.875118,False,,383660.652915,0.124882,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
L000021,BBB,7475722,0.390000,0.400000,1.500000,3491860.351106,164,MANTENER,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,MACRO_NOT_APPLIED,REESTRUCTURAR,REESTRUCTURAR,NO_ASIGNADO,-1353105.682000,1483817.773759,1177426.215000,0.000000,240.000000,0.190000,0.000000,14.664964,995526.242262,0.133168,0.000000,False,False,False,False,0.866832,False,,3491860.351106,0.133168,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.000000,,
