posture,rating,pct_MANTENER,pct_REESTRUCTURAR,pct_VENDER,n_loans,total_EAD,mean_EAD,total_RWA,total_EL,mean_PD,mean_LGD,mean_DPD,total_EVA_post,total_capital_lib
prudencial,A,77.35849056603774,7.547169811320755,15.09433962264151,53,525320357.0,9911704.849056603,786765712.0,85095534.876,0.40207547169811325,0.39999999999999986,242.62264150943398,98262720.38755088,36446312.56003111
prudencial,AA,79.16666666666666,4.166666666666666,16.666666666666664,24,115980052.0,4832502.166666667,173353046.0,17950554.268,0.39124999999999993,0.4000000000000001,246.04166666666666,21272757.389609784,8030915.03087838
prudencial,AAA,66.66666666666666,6.666666666666667,26.666666666666668,15,103503966.0,6900264.4,155047059.0,16058159.020000005,0.38,0.40000000000000013,233.6,19631426.655663125,7181795.258935368
prudencial,B,91.50943396226415,6.60377358490566,1.8867924528301887,106,719051661.0,6783506.235849056,1076931210.5,148686064.31344458,0.4493396226415094,0.470804636699634,188.73584905660377,133091804.532085,49912691.463947624
prudencial,BB,80.53097345132744,10.619469026548673,8.849557522123893,113,1043523405.0,9234720.398230089,1562668589.0,178784118.74208638,0.43212389380530974,0.4000942879756593,202.99115044247787,190974992.0148872,72549841.6795793
prudencial,BBB,75.0,5.147058823529411,19.852941176470587,136,985058834.0,7243079.661764706,1475682999.5,161425240.604,0.41463235294117645,0.3999999999999999,213.88235294117646,171778560.5648439,68472055.41216321
prudencial,CCC,75.47169811320755,24.528301886792452,0.0,53,584388387.0,11026195.981132075,876140238.0,162901585.41173303,0.47358490566037725,0.5804270035443999,207.32075471698113,113619680.1325887,40439305.67707362
balanceado,A,7.547169811320755,47.16981132075472,45.28301886792453,53,525320357.0,9911704.849056603,786765712.0,85095534.876,0.40207547169811325,0.39999999999999986,242.62264150943398,96096506.27295221,36443157.647214025
balanceado,AA,12.5,50.0,37.5,24,115980052.0,4832502.166666667,173353046.0,17950554.268,0.39124999999999993,0.4000000000000001,246.04166666666666,20877814.090439208,7987968.403289247
balanceado,AAA,6.666666666666667,60.0,33.33333333333333,15,103503966.0,6900264.4,155047059.0,16058159.020000005,0.38,0.40000000000000013,233.6,19571266.335663125,7137928.358935368
balanceado,B,16.037735849056602,53.77358490566038,30.18867924528302,106,719051661.0,6783506.235849056,1076931210.5,148686064.31344458,0.4493396226415094,0.470804636699634,188.73584905660377,129301279.61266233,50042219.91801146
balanceado,BB,7.079646017699115,48.67256637168141,44.24778761061947,113,1043523405.0,9234720.398230089,1562668589.0,178784118.74208638,0.43212389380530974,0.4000942879756593,202.99115044247787,184644718.74422452,72286683.7742479
balanceado,BBB,8.088235294117647,49.26470588235294,42.64705882352941,136,985058834.0,7243079.661764706,1475682999.5,161425240.604,0.41463235294117645,0.3999999999999999,213.88235294117646,164065342.129591,68511499.07614964
balanceado,CCC,43.39622641509434,35.84905660377358,20.754716981132077,53,584388387.0,11026195.981132075,876140238.0,162901585.41173303,0.47358490566037725,0.5804270035443999,207.32075471698113,111308466.7230789,40708857.41873176
desinversion,A,3.7735849056603774,0.0,96.22641509433963,53,525320357.0,9911704.849056603,786765712.0,85095534.876,0.40207547169811325,0.39999999999999986,242.62264150943398,-4445.112748729571,82587505.45835172
desinversion,AA,0.0,4.166666666666666,95.83333333333334,24,115980052.0,4832502.166666667,173353046.0,17950554.268,0.39124999999999993,0.4000000000000001,246.04166666666666,-11813.538869783413,18183396.913935903
desinversion,AAA,0.0,6.666666666666667,93.33333333333333,15,103503966.0,6900264.4,155047059.0,16058159.020000005,0.38,0.40000000000000013,233.6,7053.29048201663,16276693.521994108
desinversion,B,1.8867924528301887,1.8867924528301887,96.22641509433963,106,719051661.0,6783506.235849056,1076931210.5,148686064.31344458,0.4493396226415094,0.470804636699634,188.73584905660377,-4131.552753330137,113040223.54912238
desinversion,BB,0.0,0.8849557522123894,99.11504424778761,113,1043523405.0,9234720.398230089,1562668589.0,178784118.74208638,0.43212389380530974,0.4000942879756593,202.99115044247787,24855.81788302794,164069037.63248098
desinversion,BBB,0.0,0.0,100.0,136,985058834.0,7243079.661764706,1475682999.5,161425240.604,0.41463235294117645,0.3999999999999999,213.88235294117646,37022.54325688137,154930029.18768424
desinversion,CCC,30.18867924528302,0.0,69.81132075471697,53,584388387.0,11026195.981132075,876140238.0,162901585.41173303,0.47358490566037725,0.5804270035443999,207.32075471698113,0.0,91994724.99
