loan_id,segment,EAD,RW,Accion_micro,Accion_macro,Accion_final,Macro_Selected,Convergencia_Caso,Reason_Code,Decision_Governance,Fire_Sale,Price_to_EAD,fire_sale_threshold,PTI_pre,PTI_post,DSCR_pre,DSCR_post,precio_optimo,pnl,p5,p50,p95,capital_release_cf,capital_release_realized,pnl_realized,Missing_Viability_Inputs,Rationale_CIB,Macro_Evidence,FireSale_Enabled,FireSale_Triggered,FireSale_Triggers,Explanation_micro,Explanation_macro,Explanation_final,Accion,Explanation,EVA_pre,EVA_post,ΔEVA,RORWA_pre,RORWA_post,RWA_pre,RWA_post,capital_liberado,plazo_optimo,tasa_nueva,quita,rating,PD,LGD,rate,DPD,secured,decision_financial,decision_override,decision_ppo,decision_final,final_rationale,base_state,restruct_viable,risk_extremo,fire_sale,fire_sale_source,Sell_Blocked,Sell_Blocked_Reason,Score_keep,Score_restruct,Score_sell,bank_profile,bank_strategy,price_ratio_ead,book_value,book_value_source,price_ratio_book,fire_sale_threshold_book,pnl_book,EVA_gain,RORWA_gain,ok,msg,cured,pnl_ratio_book
L000000,SME,111020,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.09651244128785498,0.1,,,1.199729653074799,2.213623640062573,10714.81123177766,-39124.53516910633,6250.290977923234,10931.62254181715,15084.17977149522,17485.65,7684.985205795191,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178.",,True,True,SIM_FLAG;PX_BOOK;PNL_BOOK_RATIO,"Micro=REESTRUCTURAR. Evidence: loan_id=L000000, EAD=111,020€, RW=1.5, RORWA_pre=-1.3%, ΔEVA=66,674€, CapRel=7,685€, Price/EAD=0.097, P&L=-39,125€, DSCR=2.213623640062573, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-18900.31616415066,21789.50390885678,66674.4755916195,-0.01349496285444457,0.2167215672850483,166530.0,93339.66470671247,7684.985205795191,240.0,0.19,0.0,B,0.43,0.5081043920077528,0.095,178,False,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.21 < thr_book=0.85 (or flag),0,0.14620968158381,-1000000000000,balanceado,Banco balanceado,0.09651244128785501,49839.34640088399,provided,0.2149869933203542,0.85,-39124.535169106326,66674.4755916195,0.2514869899799463,1.0,OK (mejora significativa),1.0,-0.7850130066796459
L000001,Corporate,2398824,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.08419545110781138,0.1,,,0.8718930793154168,1.359296421627488,201970.0688082445,-774764.2027057015,117810.8398165289,206048.5882589567,284319.5449780186,377814.78,166050.5039750175,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,586,905€, EVA_post=475,961€; DSCR=1.36, PTI=NA. PD=45.0%, LGD=64.5%, DPD=148.",,True,True,SIM_FLAG;PX_BOOK;PNL_BOOK_RATIO;PNL_ABS,"Micro=REESTRUCTURAR. Evidence: loan_id=L000001, EAD=2,398,824€, RW=1.5, RORWA_pre=-2.4%, ΔEVA=1,586,905€, CapRel=166,051€, Price/EAD=0.084, P&L=-774,764€, DSCR=1.359296421627488, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,586,905€, EVA_post=475,961€; DSCR=1.36, PTI=NA. PD=45.0%, LGD=64.5%, DPD=148. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,586,905€, EVA_post=475,961€; DSCR=1.36, PTI=NA. PD=45.0%, LGD=64.5%, DPD=148. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-446736.016491169,475960.5109330301,1586905.473330263,-0.02415417345920862,0.2179987828590889,3598236.0,2016802.628809358,166050.5039750175,240.0,0.19,0.0,CCC,0.45,0.6454722675058354,0.115,148,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.21 < thr_book=0.85 (or flag),0,0.1521302794664188,-1000000000000,balanceado,Banco balanceado,0.08419545110781135,976734.2715139459,provided,0.2067809789198747,0.85,-774764.2027057013,1586905.473330263,0.272372337344847,1.0,OK (mejora significativa),1.0,-0.7932190210801252
L000002,Project Finance,2309355,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.13043513997072176,0.1,,,0.9172412463563082,1.113507475448093,301221.0426670862,-893468.7268491897,175711.8370652212,307316.1690728994,424055.2876071279,363723.4125,181084.3590419568,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,028,911€, EVA_post=162,124€; DSCR=1.11, PTI=NA. PD=46.0%, LGD=40.0%, DPD=353.",,True,True,SIM_FLAG;PX_BOOK;PNL_ABS,"Micro=REESTRUCTURAR. Evidence: loan_id=L000002, EAD=2,309,355€, RW=1.5, RORWA_pre=-0.5%, ΔEVA=1,028,911€, CapRel=181,084€, Price/EAD=0.130, P&L=-893,469€, DSCR=1.113507475448093, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,028,911€, EVA_post=162,124€; DSCR=1.11, PTI=NA. PD=46.0%, LGD=40.0%, DPD=353. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,028,911€, EVA_post=162,124€; DSCR=1.11, PTI=NA. PD=46.0%, LGD=40.0%, DPD=353. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-364878.09,162123.6203077238,1028910.728944215,-0.005333333333333323,0.1466027933511537,3464032.5,1739419.556743269,181084.3590419568,240.0,0.13,0.1,BB,0.46,0.4,0.09000000000000001,353,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.25 < thr_book=0.85 (or flag),0,0.1084869226953836,-1000000000000,balanceado,Banco balanceado,0.1304351399707218,1194689.769516276,provided,0.2521332737192929,0.85,-893468.7268491897,1028910.728944215,0.1717152321975691,1.0,OK (mejora significativa),1.0,-0.747866726280707
L000003,MidCap,623124,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.14811277532429512,0.1,,,0.937626556460094,1.219431929118829,92292.62501117607,-238604.4401005706,53837.23044278976,94160.14134000422,129928.42497523,98142.03000000001,43133.65809201876,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=362,380€, EVA_post=123,452€; DSCR=1.22, PTI=NA. PD=42.0%, LGD=40.0%, DPD=227.",,True,True,SIM_FLAG;PX_BOOK;PNL_ABS,"Micro=REESTRUCTURAR. Evidence: loan_id=L000003, EAD=623,124€, RW=1.5, RORWA_pre=-1.2%, ΔEVA=362,380€, CapRel=43,134€, Price/EAD=0.148, P&L=-238,604€, DSCR=1.219431929118829, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=362,380€, EVA_post=123,452€; DSCR=1.22, PTI=NA. PD=42.0%, LGD=40.0%, DPD=227. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=362,380€, EVA_post=123,452€; DSCR=1.22, PTI=NA. PD=42.0%, LGD=40.0%, DPD=227. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-104684.832,123451.5297593337,362380.1658918564,-0.01199999999999999,0.2178221621102851,934686.0,523889.2562664881,43133.65809201876,240.0,0.19,0.0,A,0.42,0.4,0.07200000000000001,227,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.28 < thr_book=0.85 (or flag),0,0.1460248676494703,-1000000000000,balanceado,Banco balanceado,0.1481127753242951,330897.0651117467,provided,0.2789164206699992,0.85,-238604.44010057065,362380.1658918564,0.2456344092887615,1.0,OK (mejora significativa),1.0,-0.7210835793300008
L000004,Large Corporate,23120484,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.16255619836314694,0.1,,,1.083210767397093,1.117252084947781,3758377.983355965,-6795305.295846134,2192381.694166141,3834427.74630263,5290998.406209477,3641476.23,1702489.489902839,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=13,607,622€, EVA_post=4,355,474€; DSCR=1.12, PTI=NA. PD=40.0%, LGD=40.0%, DPD=181.",,True,True,SIM_FLAG;PX_BOOK;PNL_ABS,"Micro=REESTRUCTURAR. Evidence: loan_id=L000004, EAD=23,120,484€, RW=1.5, RORWA_pre=-1.9%, ΔEVA=13,607,622€, CapRel=1,702,489€, Price/EAD=0.163, P&L=-6,795,305€, DSCR=1.117252084947781, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=13,607,622€, EVA_post=4,355,474€; DSCR=1.12, PTI=NA. PD=40.0%, LGD=40.0%, DPD=181. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=13,607,622€, EVA_post=4,355,474€; DSCR=1.12, PTI=NA. PD=40.0%, LGD=40.0%, DPD=181. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-4138566.636,4355473.566908445,13607622.43640854,-0.01933333333333333,0.2179287911227466,34680726.0,18466540.38187772,1702489.489902839,240.0,0.19,0.05,AAA,0.4,0.4,0.057,181,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.36 < thr_book=0.85 (or flag),0,0.1487204736029233,-1000000000000,balanceado,Banco balanceado,0.1625561983631469,10553683.2792021,provided,0.3561200278543998,0.85,-6795305.295846134,13607622.43640854,0.2513191484857973,1.0,OK (mejora significativa),1.0,-0.6438799721456002
L000005,Mortgage,234346,1.0,MANTENER,MANTENER,MANTENER,False,MACRO_NOT_APPLIED,RC05_KEEP_ACCEPTABLE_ECONOMICS,Micro-led,True,0.22853563383765998,0.1,0.2576165900721152,0.2576165900721152,,,53556.41164732027,-96710.36372454204,31241.1622835144,54640.11116559383,75396.05913060499,24606.33,0.0,0.0,False,"[BALANCEADO] KEEP: economics acceptable and alternatives not compelling. EVA_pre=-33,043€, ΔEVA=0€. PD=39.0%, LGD=40.0%, DPD=113.",,True,True,SIM_FLAG;PX_BOOK;PNL_ABS,"Micro=MANTENER. Evidence: loan_id=L000005, EAD=234,346€, RW=1.0, RORWA_pre=-4.1%, ΔEVA=0€, CapRel=0€, Price/EAD=0.229, P&L=-96,710€, DSCR=nan, PTI=0.2576165900721152, FireSale=True, RestructFeasible=False.","Macro=MANTENER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] KEEP: economics acceptable and alternatives not compelling. EVA_pre=-33,043€, ΔEVA=0€. PD=39.0%, LGD=40.0%, DPD=113. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",MANTENER,"[BALANCEADO] KEEP: economics acceptable and alternatives not compelling. EVA_pre=-33,043€, ΔEVA=0€. PD=39.0%, LGD=40.0%, DPD=113. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-33042.786,-33042.786,0.0,-0.04099999999999999,,234346.0,,0.0,,,,BBB,0.39,0.4,0.043,113,True,MANTENER,,,MANTENER,Financial=MANTENER | Override=None | PPO=not_used | Final=MANTENER,MALO,False,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.36 < thr_book=0.85 (or flag),0,,-1000000000000,balanceado,Banco balanceado,0.22853563383766,150266.7753718623,provided,0.3564088702561511,0.85,-96710.36372454205,,,,,,-0.643591129743849
L000006,SME,222697,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.12066552619399507,0.1,,,1.132450737528609,3.415745366957981,26871.85068682412,-69645.39461633195,15675.20717582365,27415.59532446336,37829.86165455604,35074.7775,15415.44902157244,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=127,123€, EVA_post=43,959€; DSCR=3.42, PTI=NA. PD=42.0%, LGD=40.0%, DPD=342.",,True,True,SIM_FLAG;PX_BOOK,"Micro=REESTRUCTURAR. Evidence: loan_id=L000006, EAD=222,697€, RW=1.5, RORWA_pre=-0.9%, ΔEVA=127,123€, CapRel=15,415€, Price/EAD=0.121, P&L=-69,645€, DSCR=3.415745366957981, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=127,123€, EVA_post=43,959€; DSCR=3.42, PTI=NA. PD=42.0%, LGD=40.0%, DPD=342. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=127,123€, EVA_post=43,959€; DSCR=3.42, PTI=NA. PD=42.0%, LGD=40.0%, DPD=342. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-36299.611,43959.43435466192,127122.6763843774,-0.008666666666666668,0.2173931401650981,334045.5,187231.6997945482,15415.44902157244,240.0,0.19,0.0,A,0.42,0.4,0.077,342,False,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.28 < thr_book=0.85 (or flag),0,0.1441584484573486,-1000000000000,balanceado,Banco balanceado,0.1206655261939951,96517.24530315607,provided,0.2784150190198749,0.85,-69645.39461633195,127122.6763843774,0.2418720540102411,1.0,OK (mejora significativa),1.0,-0.7215849809801251
L000007,SME,305395,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.140516978140707,0.1,,,0.9964390702977304,1.76196298766595,42913.18253928121,-104147.4272502679,25032.62744039427,43781.51919244701,60412.6517945304,48099.7125,21139.93926250965,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=171,949€, EVA_post=60,377€; DSCR=1.76, PTI=NA. PD=46.0%, LGD=40.0%, DPD=256.",,True,True,SIM_FLAG;PX_BOOK;PNL_ABS,"Micro=REESTRUCTURAR. Evidence: loan_id=L000007, EAD=305,395€, RW=1.5, RORWA_pre=-0.2%, ΔEVA=171,949€, CapRel=21,140€, Price/EAD=0.141, P&L=-104,147€, DSCR=1.76196298766595, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=171,949€, EVA_post=60,377€; DSCR=1.76, PTI=NA. PD=46.0%, LGD=40.0%, DPD=256. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=171,949€, EVA_post=60,377€; DSCR=1.76, PTI=NA. PD=46.0%, LGD=40.0%, DPD=256. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-46725.435,60376.50239896351,171948.6921834667,-0.00199999999999999,0.2175739257160255,458092.5,256759.7451189557,21139.93926250965,240.0,0.19,0.0,BB,0.46,0.4,0.095,256,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.29 < thr_book=0.85 (or flag),0,0.1409496453374102,-1000000000000,balanceado,Banco balanceado,0.140516978140707,147060.6097895491,provided,0.2918060968242418,0.85,-104147.42725026791,171948.6921834667,0.2393530312291077,1.0,OK (mejora significativa),1.0,-0.7081939031757583
L000008,Large Corporate,16502163,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.14697016210854869,0.1,,,0.977739611463694,1.36065987725918,2425325.571251694,-4677502.292288529,1414769.724693134,2474401.378841829,3414343.578229827,2599090.6725,1142306.598078011,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=9,853,854€, EVA_post=3,275,732€; DSCR=1.36, PTI=NA. PD=47.0%, LGD=40.0%, DPD=439.",,True,True,SIM_FLAG;PX_BOOK;PNL_ABS,"Micro=REESTRUCTURAR. Evidence: loan_id=L000008, EAD=16,502,163€, RW=1.5, RORWA_pre=-1.2%, ΔEVA=9,853,854€, CapRel=1,142,307€, Price/EAD=0.147, P&L=-4,677,502€, DSCR=1.36065987725918, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=9,853,854€, EVA_post=3,275,732€; DSCR=1.36, PTI=NA. PD=47.0%, LGD=40.0%, DPD=439. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=9,853,854€, EVA_post=3,275,732€; DSCR=1.36, PTI=NA. PD=47.0%, LGD=40.0%, DPD=439. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-2772363.384,3275731.678506808,9853853.796967054,-0.01199999999999999,0.2180517525837469,24753244.5,13874134.04211418,1142306.598078011,240.0,0.19,0.0,A,0.47,0.4,0.082,439,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.34 < thr_book=0.85 (or flag),0,0.1461406840671218,-1000000000000,balanceado,Banco balanceado,0.1469701621085487,7102827.863540223,provided,0.3414591508969573,0.85,-4677502.292288529,9853853.796967054,0.2509256899469933,1.0,OK (mejora significativa),1.0,-0.6585408491030427
L000009,Corporate,2541160,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.15730385903990735,0.1,,,0.9384341660679321,1.482579648828825,399734.274437851,-1029535.15286654,233177.7457428038,407822.7894694102,562741.0064459329,400232.7,175903.2337016619,0.0,False,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,497,175€, EVA_post=504,217€; DSCR=1.48, PTI=NA. PD=41.0%, LGD=40.0%, DPD=130.",,True,True,SIM_FLAG;PX_BOOK;PNL_ABS,"Micro=REESTRUCTURAR. Evidence: loan_id=L000009, EAD=2,541,160€, RW=1.5, RORWA_pre=-1.5%, ΔEVA=1,497,175€, CapRel=175,903€, Price/EAD=0.157, P&L=-1,029,535€, DSCR=1.482579648828825, PTI=nan, FireSale=True, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,497,175€, EVA_post=504,217€; DSCR=1.48, PTI=NA. PD=41.0%, LGD=40.0%, DPD=130. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,497,175€, EVA_post=504,217€; DSCR=1.48, PTI=NA. PD=41.0%, LGD=40.0%, DPD=130. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-439620.6800000001,504216.8145717845,1497175.175596601,-0.01533333333333333,0.2180022544600276,3811740.0,2136471.10760322,175903.2337016619,240.0,0.19,0.0,BB,0.41,0.4,0.065,130,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.28 < thr_book=0.85 (or flag),0,0.1477657148456938,-1000000000000,balanceado,Banco balanceado,0.1573038590399073,1429269.427304391,provided,0.2796773420052451,0.85,-1029535.15286654,1497175.175596601,0.2482522664000886,1.0,OK (mejora significativa),1.0,-0.7203226579947548
