loan_id,segment,EAD,RW,Accion_micro,Accion_macro,Accion_final,Macro_Selected,Convergencia_Caso,Reason_Code,Decision_Governance,Fire_Sale,Price_to_EAD,fire_sale_threshold,PTI_pre,PTI_post,DSCR_pre,DSCR_post,precio_optimo,pnl,p5,p50,p95,capital_release_cf,capital_release_realized,pnl_realized,Missing_Viability_Inputs,Rationale_CIB,Macro_Evidence,FireSale_Enabled,FireSale_Triggered,FireSale_Triggers,Explanation_micro,Explanation_macro,Explanation_final,Accion,Explanation,EVA_pre,EVA_post,ΔEVA,RORWA_pre,RORWA_post,RWA_pre,RWA_post,capital_liberado,plazo_optimo,tasa_nueva,quita,rating,PD,LGD,rate,DPD,secured,decision_financial,decision_override,decision_ppo,decision_final,final_rationale,base_state,restruct_viable,risk_extremo,fire_sale,fire_sale_source,Sell_Blocked,Sell_Blocked_Reason,Score_keep,Score_restruct,Score_sell,bank_profile,bank_strategy,price_ratio_ead,book_value,book_value_source,price_ratio_book,fire_sale_threshold_book,pnl_book,EVA_gain,RORWA_gain,ok,msg,cured,pnl_ratio_book
L000000,SME,111020,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,False,0.09651244128785498,0.07,,,1.199729653074799,2.213623640062573,10714.81123177766,-39124.53516910633,6250.290977923234,10931.62254181715,15084.17977149522,17485.65,7684.985205795191,0.0,False,"[DESINVERSION] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178.",,False,False,,"Micro=REESTRUCTURAR. Evidence: loan_id=L000000, EAD=111,020€, RW=1.5, RORWA_pre=-1.3%, ΔEVA=66,674€, CapRel=7,685€, Price/EAD=0.097, P&L=-39,125€, DSCR=2.213623640062573, PTI=nan, FireSale=False, RestructFeasible=True.","Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[DESINVERSION] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-18900.31616415066,21789.50390885678,66674.4755916195,-0.01349496285444457,0.2167215672850483,166530.0,93339.66470671247,7684.985205795191,240.0,0.19,0.0,B,0.43,0.5081043920077528,0.095,178,False,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,True,False,True,SIM,False,,0,0.1331602066450097,-0.2052790716592636,desinversion,Plan de desinversión NPL,0.09651244128785501,49839.34640088399,provided,0.2149869933203542,0.85,-39124.535169106326,66674.4755916195,0.2514869899799463,1.0,OK (mejora significativa),1.0,-0.7850130066796459
L000001,Corporate,2398824,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.08419545110781138,0.07,,,0.8718930793154168,0.8718930793154168,201970.0688082445,-774764.2027057015,117810.8398165289,206048.5882589567,284319.5449780186,377814.78,377814.78,-774764.2027057015,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-446,736€, RORWA_pre=-2.4% vs hurdle=10.0%. CapRel=377,815€, Price=201,970€, P&L=-774,764€. PD=45.0%, LGD=64.5%, DPD=148.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000001, EAD=2,398,824€, RW=1.5, RORWA_pre=-2.4%, ΔEVA=446,736€, CapRel=377,815€, Price/EAD=0.084, P&L=-774,764€, DSCR=0.8718930793154168, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-446,736€, RORWA_pre=-2.4% vs hurdle=10.0%. CapRel=377,815€, Price=201,970€, P&L=-774,764€. PD=45.0%, LGD=64.5%, DPD=148. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-446,736€, RORWA_pre=-2.4% vs hurdle=10.0%. CapRel=377,815€, Price=201,970€, P&L=-774,764€. PD=45.0%, LGD=64.5%, DPD=148. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-446736.016491169,0.0,446736.016491169,-0.02415417345920862,,3598236.0,,377814.78,,,,CCC,0.45,0.6454722675058354,0.115,148,True,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1376943178161717,-6.638128958627684,desinversion,Plan de desinversión NPL,0.08419545110781135,976734.2715139459,provided,0.2067809789198747,0.85,-774764.2027057013,,,,,,-0.7932190210801252
L000002,Project Finance,2309355,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.13043513997072176,0.07,,,0.9172412463563082,0.9172412463563082,301221.0426670862,-893468.7268491897,175711.8370652212,307316.1690728994,424055.2876071279,363723.4125,363723.4125,-893468.7268491897,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-364,878€, RORWA_pre=-0.5% vs hurdle=10.0%. CapRel=363,723€, Price=301,221€, P&L=-893,469€. PD=46.0%, LGD=40.0%, DPD=353.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000002, EAD=2,309,355€, RW=1.5, RORWA_pre=-0.5%, ΔEVA=364,878€, CapRel=363,723€, Price/EAD=0.130, P&L=-893,469€, DSCR=0.9172412463563082, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-364,878€, RORWA_pre=-0.5% vs hurdle=10.0%. CapRel=363,723€, Price=301,221€, P&L=-893,469€. PD=46.0%, LGD=40.0%, DPD=353. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-364,878€, RORWA_pre=-0.5% vs hurdle=10.0%. CapRel=363,723€, Price=301,221€, P&L=-893,469€. PD=46.0%, LGD=40.0%, DPD=353. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-364878.09,0.0,364878.09,-0.005333333333333323,,3464032.5,,363723.4125,,,,BB,0.46,0.4,0.09000000000000001,353,True,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1057029017972042,-7.68385135993041,desinversion,Plan de desinversión NPL,0.1304351399707218,1194689.769516276,provided,0.2521332737192929,0.85,-893468.7268491897,,,,,,-0.747866726280707
L000003,MidCap,623124,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.14811277532429512,0.07,,,0.937626556460094,0.937626556460094,92292.62501117607,-238604.4401005706,53837.23044278976,94160.14134000422,129928.42497523,98142.03000000001,98142.03000000001,-238604.4401005706,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-104,685€, RORWA_pre=-1.2% vs hurdle=10.0%. CapRel=98,142€, Price=92,293€, P&L=-238,604€. PD=42.0%, LGD=40.0%, DPD=227.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000003, EAD=623,124€, RW=1.5, RORWA_pre=-1.2%, ΔEVA=104,685€, CapRel=98,142€, Price/EAD=0.148, P&L=-238,604€, DSCR=0.937626556460094, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-104,685€, RORWA_pre=-1.2% vs hurdle=10.0%. CapRel=98,142€, Price=92,293€, P&L=-238,604€. PD=42.0%, LGD=40.0%, DPD=227. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-104,685€, RORWA_pre=-1.2% vs hurdle=10.0%. CapRel=98,142€, Price=92,293€, P&L=-238,604€. PD=42.0%, LGD=40.0%, DPD=227. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-104684.832,0.0,104684.832,-0.01199999999999999,,934686.0,,98142.03000000001,,,,A,0.42,0.4,0.07200000000000001,227,True,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1330622561401016,-1.951288850879993,desinversion,Plan de desinversión NPL,0.1481127753242951,330897.0651117467,provided,0.2789164206699992,0.85,-238604.44010057065,,,,,,-0.7210835793300008
L000004,Large Corporate,23120484,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.16255619836314694,0.07,,,1.083210767397093,1.083210767397093,3758377.983355965,-6795305.295846134,2192381.694166141,3834427.74630263,5290998.406209477,3641476.23,3641476.23,-6795305.295846134,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-4,138,567€, RORWA_pre=-1.9% vs hurdle=10.0%. CapRel=3,641,476€, Price=3,758,378€, P&L=-6,795,305€. PD=40.0%, LGD=40.0%, DPD=181.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000004, EAD=23,120,484€, RW=1.5, RORWA_pre=-1.9%, ΔEVA=4,138,567€, CapRel=3,641,476€, Price/EAD=0.163, P&L=-6,795,305€, DSCR=1.083210767397093, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-4,138,567€, RORWA_pre=-1.9% vs hurdle=10.0%. CapRel=3,641,476€, Price=3,758,378€, P&L=-6,795,305€. PD=40.0%, LGD=40.0%, DPD=181. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-4,138,567€, RORWA_pre=-1.9% vs hurdle=10.0%. CapRel=3,641,476€, Price=3,758,378€, P&L=-6,795,305€. PD=40.0%, LGD=40.0%, DPD=181. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-4138566.636,0.0,4138566.636,-0.01933333333333333,,34680726.0,,3641476.23,,,,AAA,0.4,0.4,0.057,181,True,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1361435982528974,-59.31967133865367,desinversion,Plan de desinversión NPL,0.1625561983631469,10553683.2792021,provided,0.3561200278543998,0.85,-6795305.295846134,,,,,,-0.6438799721456002
L000005,Mortgage,234346,1.0,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.22853563383765998,0.07,0.2576165900721152,0.2576165900721152,,,53556.41164732027,-96710.36372454204,31241.1622835144,54640.11116559383,75396.05913060499,24606.33,24606.33,-96710.36372454204,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-33,043€, RORWA_pre=-4.1% vs hurdle=10.0%. CapRel=24,606€, Price=53,556€, P&L=-96,710€. PD=39.0%, LGD=40.0%, DPD=113.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000005, EAD=234,346€, RW=1.0, RORWA_pre=-4.1%, ΔEVA=33,043€, CapRel=24,606€, Price/EAD=0.229, P&L=-96,710€, DSCR=nan, PTI=0.2576165900721152, FireSale=False, RestructFeasible=True.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-33,043€, RORWA_pre=-4.1% vs hurdle=10.0%. CapRel=24,606€, Price=53,556€, P&L=-96,710€. PD=39.0%, LGD=40.0%, DPD=113. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-33,043€, RORWA_pre=-4.1% vs hurdle=10.0%. CapRel=24,606€, Price=53,556€, P&L=-96,710€. PD=39.0%, LGD=40.0%, DPD=113. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-33042.786,0.0,33042.786,-0.04099999999999999,,234346.0,,24606.33,,,,BBB,0.39,0.4,0.043,113,True,MANTENER,VENDER,,VENDER,Financial=MANTENER | Override=VENDER | PPO=not_used | Final=VENDER,MALO,False,False,True,SIM,False,,0,,-0.7444406825897427,desinversion,Plan de desinversión NPL,0.22853563383766,150266.7753718623,provided,0.3564088702561511,0.85,-96710.36372454205,,,,,,-0.643591129743849
L000006,SME,222697,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.12066552619399507,0.07,,,1.132450737528609,1.132450737528609,26871.85068682412,-69645.39461633195,15675.20717582365,27415.59532446336,37829.86165455604,35074.7775,35074.7775,-69645.39461633195,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-36,300€, RORWA_pre=-0.9% vs hurdle=10.0%. CapRel=35,075€, Price=26,872€, P&L=-69,645€. PD=42.0%, LGD=40.0%, DPD=342.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000006, EAD=222,697€, RW=1.5, RORWA_pre=-0.9%, ΔEVA=36,300€, CapRel=35,075€, Price/EAD=0.121, P&L=-69,645€, DSCR=1.132450737528609, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-36,300€, RORWA_pre=-0.9% vs hurdle=10.0%. CapRel=35,075€, Price=26,872€, P&L=-69,645€. PD=42.0%, LGD=40.0%, DPD=342. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-36,300€, RORWA_pre=-0.9% vs hurdle=10.0%. CapRel=35,075€, Price=26,872€, P&L=-69,645€. PD=42.0%, LGD=40.0%, DPD=342. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-36299.611,0.0,36299.611,-0.008666666666666668,,334045.5,,35074.7775,,,,A,0.42,0.4,0.077,342,False,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1316319068133335,-0.4741472028929046,desinversion,Plan de desinversión NPL,0.1206655261939951,96517.24530315607,provided,0.2784150190198749,0.85,-69645.39461633195,,,,,,-0.7215849809801251
L000007,SME,305395,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.140516978140707,0.07,,,0.9964390702977304,0.9964390702977304,42913.18253928121,-104147.4272502679,25032.62744039427,43781.51919244701,60412.6517945304,48099.7125,48099.7125,-104147.4272502679,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-46,725€, RORWA_pre=-0.2% vs hurdle=10.0%. CapRel=48,100€, Price=42,913€, P&L=-104,147€. PD=46.0%, LGD=40.0%, DPD=256.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000007, EAD=305,395€, RW=1.5, RORWA_pre=-0.2%, ΔEVA=46,725€, CapRel=48,100€, Price/EAD=0.141, P&L=-104,147€, DSCR=0.9964390702977304, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-46,725€, RORWA_pre=-0.2% vs hurdle=10.0%. CapRel=48,100€, Price=42,913€, P&L=-104,147€. PD=46.0%, LGD=40.0%, DPD=256. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-46,725€, RORWA_pre=-0.2% vs hurdle=10.0%. CapRel=48,100€, Price=42,913€, P&L=-104,147€. PD=46.0%, LGD=40.0%, DPD=256. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-46725.435,0.0,46725.435,-0.00199999999999999,,458092.5,,48099.7125,,,,BB,0.46,0.4,0.095,256,True,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1292079042133848,-0.7785399884398441,desinversion,Plan de desinversión NPL,0.140516978140707,147060.6097895491,provided,0.2918060968242418,0.85,-104147.42725026791,,,,,,-0.7081939031757583
L000008,Large Corporate,16502163,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.14697016210854869,0.07,,,0.977739611463694,0.977739611463694,2425325.571251694,-4677502.292288529,1414769.724693134,2474401.378841829,3414343.578229827,2599090.6725,2599090.6725,-4677502.292288529,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-2,772,363€, RORWA_pre=-1.2% vs hurdle=10.0%. CapRel=2,599,091€, Price=2,425,326€, P&L=-4,677,502€. PD=47.0%, LGD=40.0%, DPD=439.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000008, EAD=16,502,163€, RW=1.5, RORWA_pre=-1.2%, ΔEVA=2,772,363€, CapRel=2,599,091€, Price/EAD=0.147, P&L=-4,677,502€, DSCR=0.977739611463694, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-2,772,363€, RORWA_pre=-1.2% vs hurdle=10.0%. CapRel=2,599,091€, Price=2,425,326€, P&L=-4,677,502€. PD=47.0%, LGD=40.0%, DPD=439. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-2,772,363€, RORWA_pre=-1.2% vs hurdle=10.0%. CapRel=2,599,091€, Price=2,425,326€, P&L=-4,677,502€. PD=47.0%, LGD=40.0%, DPD=439. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-2772363.384,0.0,2772363.384,-0.01199999999999999,,24753244.5,,2599090.6725,,,,A,0.47,0.4,0.082,439,True,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1331587698214778,-40.79164505752463,desinversion,Plan de desinversión NPL,0.1469701621085487,7102827.863540223,provided,0.3414591508969573,0.85,-4677502.292288529,,,,,,-0.6585408491030427
L000009,Corporate,2541160,1.5,VENDER,VENDER,VENDER,False,MACRO_NOT_APPLIED,RC06_MICRO_SELL_VALUE_NEGATIVE,Micro-led,False,0.15730385903990735,0.07,,,0.9384341660679321,0.9384341660679321,399734.274437851,-1029535.15286654,233177.7457428038,407822.7894694102,562741.0064459329,400232.7,400232.7,-1029535.15286654,False,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-439,621€, RORWA_pre=-1.5% vs hurdle=10.0%. CapRel=400,233€, Price=399,734€, P&L=-1,029,535€. PD=41.0%, LGD=40.0%, DPD=130.",,False,False,,"Micro=VENDER. Evidence: loan_id=L000009, EAD=2,541,160€, RW=1.5, RORWA_pre=-1.5%, ΔEVA=439,621€, CapRel=400,233€, Price/EAD=0.157, P&L=-1,029,535€, DSCR=0.9384341660679321, PTI=nan, FireSale=False, RestructFeasible=False.","Macro=VENDER. Evidence: Macro not applied (n_steps=10, top_k=5) ⇒ macro_action defaults to micro action (no portfolio steering).","[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-439,621€, RORWA_pre=-1.5% vs hurdle=10.0%. CapRel=400,233€, Price=399,734€, P&L=-1,029,535€. PD=41.0%, LGD=40.0%, DPD=130. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",VENDER,"[DESINVERSION] SELL on weak risk-adjusted economics. EVA_pre=-439,621€, RORWA_pre=-1.5% vs hurdle=10.0%. CapRel=400,233€, Price=399,734€, P&L=-1,029,535€. PD=41.0%, LGD=40.0%, DPD=130. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-439620.6800000001,0.0,439620.6800000001,-0.01533333333333333,,3811740.0,,400232.7,,,,BB,0.41,0.4,0.065,130,True,REESTRUCTURAR,VENDER,,VENDER,Financial=REESTRUCTURAR | Override=VENDER | PPO=not_used | Final=VENDER,MALO,True,False,True,SIM,False,,0,0.1343879621369545,-8.870682587582223,desinversion,Plan de desinversión NPL,0.1573038590399073,1429269.427304391,provided,0.2796773420052451,0.85,-1029535.15286654,,,,,,-0.7203226579947548
