loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000031,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.38,,-351755
L000099,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.29,,-189531
L000100,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.34,,-348806
L000103,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.30,,-196987
L000136,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.34,,-379855
L000161,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.39,,-234153
L000169,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.41,,-186008
L000190,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.36,,-155224
L000218,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.45,,-211901
L000225,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.29,,-137146
L000232,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.25,,-363603
L000234,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.40,,-153125
L000292,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.36,,-183162
L000296,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.32,,-173316
L000339,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.40,,-166964
L000387,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.24,,-281868
L000419,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.40,,-696376
L000462,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130835,,,0.41,,-227037
