loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000031,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.38,,-364230
L000099,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.29,,-196404
L000100,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.34,,-360827
L000103,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.30,,-206097
L000136,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.34,,-391919
L000161,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.39,,-243947
L000169,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.41,,-195482
L000190,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.36,,-161560
L000218,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.45,,-221570
L000225,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.29,,-143492
L000232,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.25,,-375266
L000234,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.40,,-159162
L000292,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.36,,-189813
L000296,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.32,,-179450
L000339,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.40,,-173536
L000387,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.24,,-291765
L000419,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.40,,-725963
L000462,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260222_130634,,,0.41,,-237975
