loan_id,segment,EAD,RW,Accion_micro,Accion_macro,Accion_final,Macro_Selected,Convergencia_Caso,Reason_Code,Decision_Governance,Fire_Sale,Price_to_EAD,fire_sale_threshold,PTI_pre,PTI_post,DSCR_pre,DSCR_post,precio_optimo,pnl,p5,p50,p95,capital_release_cf,capital_release_realized,pnl_realized,restructure_ok,sell_ok,guardrail_reasons,override_applied,override_from,override_to,pti_limit,dscr_limit,pti_headroom,dscr_headroom,rwa_before,rwa_after,capital_release_net,audit_pti_check,audit_dscr_check,audit_price_book_ratio,audit_capital_release,macro_action_used,macro_conflict,macro_applied,Macro_Rationales,Macro_Assignment,Missing_Viability_Inputs,restruct_viable,constraint_blocked,constraint_reason,constraint_metrics_json,plazo_optimo,tasa_nueva,quita,case_status,next_step,next_step_reason,review_due_days,required_data_flags,override_reason,Rationale_CIB,Macro_Evidence,FireSale_Enabled,FireSale_Triggered,FireSale_Triggers,Explanation_micro,Explanation_macro,Explanation_final,Accion,Explanation,EVA_pre,EVA_post,ΔEVA,RORWA_pre,RORWA_post,RWA_pre,RWA_post,capital_liberado,rating,PD,LGD,rate,DPD,secured,decision_financial,decision_override,decision_ppo,decision_final,final_rationale,base_state,risk_extremo,fire_sale,fire_sale_source,Sell_Blocked,Sell_Blocked_Reason,Score_keep,Score_restruct,Score_sell,bank_profile,bank_strategy,price_ratio_ead,book_value,book_value_source,price_ratio_book,fire_sale_threshold_book,pnl_book,EVA_gain,RORWA_gain,ok,msg,cured,Macro_Steps_Sold,Macro_Steps_Restruct,override_level,pnl_ratio_book,recommended_action,recommended_sale_price,recommended_sale_recovery,valor_referencia,recovery_sale,score_mandate,sale_mandate_tier,sale_mandate,sale_mandate_reason,sale_insulting_flag,sale_loss_pct,sale_within_loss_cap,recovery_rate,sale_meets_recovery_min,sale_executable,sale_reason_code,acceptance_score,restruct_executable,restructure_reason_code,action_before_executability,final_action_executability,execution_status,run_id,macro_selected,macro_action
L000000,SME,111020,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.09651244128785498,0.1,,,1.199729653074799,2.213623640062573,10714.81123177766,-39124.53516910633,6250.290977923234,10931.62254181715,15084.17977149522,17485.65,7684.985205795191,0.0,True,,,False,NONE,NONE,0.425,1.1,,1.1136236400625728,,,,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.19,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,SIM_FLAG;PX_BOOK;PNL_BOOK_RATIO,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=66,674€, EVA_post=21,790€; DSCR=2.21, PTI=NA. PD=43.0%, LGD=50.8%, DPD=178. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-18900.31616415066,21789.50390885678,66674.4755916195,-0.01349496285444457,0.2167215672850483,166530.0,93339.66470671247,7684.985205795191,B,0.43,0.5081043920077528,0.095,178,False,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,True,SIM,True,FIRE_SALE(sim): Price/Book=0.21 < thr_book=0.22 (or flag),0.006,0.14620968158381,-1000000000000.0,balanceado,Banco balanceado,0.09651244128785501,49839.34640088399,provided,0.2149869933203541,0.22,-39124.53516910633,66674.4755916195,0.2514869899799463,1.0,OK (mejora significativa),1.0,,,NONE,-0.785013006679646,REESTRUCTURAR,10714.81123177766,,49839.34640088399,0.09651244128785498,2.4309864334766624,NONE,False,,False,0.903487558712145,False,0.09651244128785498,False,False,SALE_BLOCKED_LOSS_CAP,26.999999999999996,True,RESTRUCT_EXECUTABLE_CLEAN_TERMS,REESTRUCTURAR,REESTRUCTURAR,NORMAL,pc10_final_clean_baseline_20260221_123550,False,NONE
L000001,Corporate,2398824,1.5,REESTRUCTURAR,REESTRUCTURAR,MANTENER,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.08419545110781138,0.1,,,0.8718930793154168,1.359296421627488,201970.0688082445,-774764.2027057015,117810.8398165289,206048.5882589567,284319.5449780186,377814.78,0.0,0.0,,,,False,NONE,NONE,,,,,,,,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.19,0.0,HOLD_NO_EXECUTABLE_ACTION,WORKOUT_REVIEW,NEITHER_SALE_NOR_RESTRUCTURE_EXECUTABLE_TODAY,30.0,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,586,905€, EVA_post=475,961€; DSCR=1.36, PTI=NA. PD=45.0%, LGD=64.5%, DPD=148.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_BOOK_RATIO;PNL_ABS,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,586,905€, EVA_post=475,961€; DSCR=1.36, PTI=NA. PD=45.0%, LGD=64.5%, DPD=148. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,586,905€, EVA_post=475,961€; DSCR=1.36, PTI=NA. PD=45.0%, LGD=64.5%, DPD=148. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-446736.016491169,475960.5109330301,1586905.473330263,-0.02415417345920862,0.2179987828590889,3598236.0,2016802.628809358,166050.5039750175,CCC,0.45,0.6454722675058354,0.115,148,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.1521302794664188,-1000000000000.0,balanceado,Banco balanceado,0.08419545110781135,976734.2715139459,provided,0.2067809789198748,0.2,-774764.2027057015,1586905.473330263,0.272372337344847,1.0,OK (mejora significativa),1.0,,,NONE,-0.7932190210801253,REESTRUCTURAR,201970.0688082445,,976734.2715139459,0.08419545110781138,2.4030513395984876,NONE,False,,False,0.9158045488921887,False,0.08419545110781138,False,False,SALE_BLOCKED_LOSS_CAP,16.37185686509952,False,RESTRUCT_BLOCKED_LOW_ACCEPTANCE(16<25),REESTRUCTURAR,MANTENER,NO_EXECUTABLE_ACTION,pc10_final_clean_baseline_20260221_123550,False,NONE
L000002,Project Finance,2309355,1.5,REESTRUCTURAR,REESTRUCTURAR,VENDER,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.13043513997072176,0.1,,,0.9172412463563082,1.137488553424724,301221.0426670862,-893468.7268491897,175711.8370652212,307316.1690728994,424055.2876071279,363723.4125,363723.4125,-893468.7268491897,,True,,False,NONE,NONE,,,,,3464032.5,0.0,161280.2436297907,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.11,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=956,128€, EVA_post=89,341€; DSCR=1.14, PTI=NA. PD=46.0%, LGD=40.0%, DPD=353.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_ABS,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=956,128€, EVA_post=89,341€; DSCR=1.14, PTI=NA. PD=46.0%, LGD=40.0%, DPD=353. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=956,128€, EVA_post=89,341€; DSCR=1.14, PTI=NA. PD=46.0%, LGD=40.0%, DPD=353. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-364878.09,89340.51320371075,956127.621840202,-0.005333333333333323,0.1231688575582509,3464032.5,1928030.179716279,161280.2436297907,BB,0.46,0.4,0.09000000000000001,353,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.09517290901334746,-1000000000000.0,balanceado,Banco balanceado,0.1304351399707218,1194689.769516276,provided,0.2521332737192929,0.2,-893468.7268491897,956127.621840202,0.1482812964046664,1.0,OK (mejora significativa),1.0,,,NONE,-0.747866726280707,REESTRUCTURAR,301221.0426670862,,1194689.769516276,0.13043513997072176,2.68875717451782,NONE,False,,False,0.8695648600292782,True,0.13043513997072176,True,True,VOLUNTARY_SALE_ACCEPTABLE,23.499542136988964,False,RESTRUCT_BLOCKED_LOW_ACCEPTANCE(23<25),REESTRUCTURAR,VENDER,FALLBACK_SALE,pc10_final_clean_baseline_20260221_123550,False,NONE
L000003,MidCap,623124,1.5,REESTRUCTURAR,REESTRUCTURAR,VENDER,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.14811277532429512,0.1,,,0.937626556460094,1.219431929118829,92292.62501117607,-238604.4401005706,53837.23044278976,94160.14134000422,129928.42497523,98142.03000000001,98142.03000000001,-238604.4401005706,,True,,False,NONE,NONE,,,,,934686.0,0.0,43133.65809201876,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.19,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=362,380€, EVA_post=123,452€; DSCR=1.22, PTI=NA. PD=42.0%, LGD=40.0%, DPD=227.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_ABS,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=362,380€, EVA_post=123,452€; DSCR=1.22, PTI=NA. PD=42.0%, LGD=40.0%, DPD=227. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=362,380€, EVA_post=123,452€; DSCR=1.22, PTI=NA. PD=42.0%, LGD=40.0%, DPD=227. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-104684.832,123451.5297593337,362380.1658918564,-0.01199999999999999,0.2178221621102851,934686.0,523889.2562664881,43133.65809201876,A,0.42,0.4,0.07200000000000001,227,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.1460248676494703,-1000000000000.0,balanceado,Banco balanceado,0.1481127753242951,330897.0651117467,provided,0.2789164206699992,0.2,-238604.4401005706,362380.1658918564,0.2456344092887615,1.0,OK (mejora significativa),1.0,,,NONE,-0.7210835793300006,REESTRUCTURAR,92292.62501117607,,330897.0651117467,0.14811277532429512,2.397907294955093,NONE,False,,False,0.8518872246757049,True,0.14811277532429512,True,True,VOLUNTARY_SALE_ACCEPTABLE,10.777277164753153,False,RESTRUCT_BLOCKED_LOW_ACCEPTANCE(11<25),REESTRUCTURAR,VENDER,FALLBACK_SALE,pc10_final_clean_baseline_20260221_123550,False,NONE
L000004,Large Corporate,23120484,1.5,REESTRUCTURAR,REESTRUCTURAR,VENDER,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.16255619836314694,0.1,,,1.083210767397093,1.172741485079259,3758377.983355965,-6795305.295846134,2192381.694166141,3834427.74630263,5290998.406209477,3641476.23,3641476.23,-6795305.295846134,,True,,False,NONE,NONE,,,,,34680726.0,0.0,1602820.184003784,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.17,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=12,915,812€, EVA_post=3,663,663€; DSCR=1.17, PTI=NA. PD=40.0%, LGD=40.0%, DPD=181.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_ABS,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=12,915,812€, EVA_post=3,663,663€; DSCR=1.17, PTI=NA. PD=40.0%, LGD=40.0%, DPD=181. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=12,915,812€, EVA_post=3,663,663€; DSCR=1.17, PTI=NA. PD=40.0%, LGD=40.0%, DPD=181. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-4138566.636,3663663.078879911,12915811.94838,-0.01933333333333333,0.1943476031765843,34680726.0,19415771.86663063,1602820.184003784,AAA,0.4,0.4,0.057,181,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.137803992180513,-1000000000000.0,balanceado,Banco balanceado,0.1625561983631469,10553683.2792021,provided,0.3561200278543998,0.2,-6795305.295846134,12915811.94838,0.227737960539635,1.0,OK (mejora significativa),1.0,,,NONE,-0.6438799721456002,REESTRUCTURAR,3758377.983355965,,10553683.2792021,0.16255619836314694,2.2717497977212613,NONE,False,,False,0.8374438016368531,True,0.16255619836314694,True,True,VOLUNTARY_SALE_ACCEPTABLE,12.90965940317036,False,RESTRUCT_BLOCKED_LOW_ACCEPTANCE(13<25),REESTRUCTURAR,VENDER,FALLBACK_SALE,pc10_final_clean_baseline_20260221_123550,False,NONE
L000005,Mortgage,234346,1.0,MANTENER,MANTENER,MANTENER,False,MACRO_NOT_APPLIED,RC05_KEEP_ACCEPTABLE_ECONOMICS,Micro-led,True,0.22853563383765998,0.1,0.2576165900721152,0.2576165900721152,,,53556.41164732027,-96710.36372454204,31241.1622835144,54640.11116559383,75396.05913060499,24606.33,0.0,0.0,,,,False,NONE,NONE,,,,,,,,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,False,False,,,,,,NORMAL,,,,,,"[BALANCEADO] KEEP: economics acceptable and alternatives not compelling. EVA_pre=-33,043€, ΔEVA=0€. PD=39.0%, LGD=40.0%, DPD=113.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_ABS,Micro=MANTENER. Evidence: [?],"Macro=MANTENER. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] KEEP: economics acceptable and alternatives not compelling. EVA_pre=-33,043€, ΔEVA=0€. PD=39.0%, LGD=40.0%, DPD=113. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",MANTENER,"[BALANCEADO] KEEP: economics acceptable and alternatives not compelling. EVA_pre=-33,043€, ΔEVA=0€. PD=39.0%, LGD=40.0%, DPD=113. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-33042.786,-33042.786,0.0,-0.04099999999999999,,234346.0,,0.0,BBB,0.39,0.4,0.043,113,True,MANTENER,,,MANTENER,Financial=MANTENER | Override=None | PPO=not_used | Final=MANTENER,MALO,False,False,SIM,False,,0.0,,-0.7743276775514849,balanceado,Banco balanceado,0.22853563383766,150266.7753718623,provided,0.35640887025615103,0.2,-96710.36372454204,,,,,,,,NONE,-0.6435911297438489,MANTENER,53556.41164732027,,150266.7753718623,0.22853563383765998,1.9736853852242011,NONE,False,,False,0.77146436616234,True,0.22853563383765998,True,True,VOLUNTARY_SALE_ACCEPTABLE,57.190844822516056,False,RESTRUCT_NOT_VIABLE_MISSING_DATA_OR_GATES,MANTENER,MANTENER,NORMAL,pc10_final_clean_baseline_20260221_123550,False,NONE
L000006,SME,222697,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,False,0.12066552619399507,0.1,,,1.132450737528609,3.415745366957981,26871.85068682412,-69645.39461633195,15675.20717582365,27415.59532446336,37829.86165455604,35074.7775,15415.44902157244,0.0,True,,,False,NONE,NONE,0.425,1.1,,2.315745366957981,,,,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.19,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=127,123€, EVA_post=43,959€; DSCR=3.42, PTI=NA. PD=42.0%, LGD=40.0%, DPD=342.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,False,,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=127,123€, EVA_post=43,959€; DSCR=3.42, PTI=NA. PD=42.0%, LGD=40.0%, DPD=342. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=127,123€, EVA_post=43,959€; DSCR=3.42, PTI=NA. PD=42.0%, LGD=40.0%, DPD=342. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-36299.611,43959.43435466192,127122.6763843774,-0.008666666666666668,0.2173931401650981,334045.5,187231.6997945482,15415.44902157244,A,0.42,0.4,0.077,342,False,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.1441584484573486,-1000000000000.0,balanceado,Banco balanceado,0.1206655261939951,96517.24530315607,provided,0.2784150190198748,0.22,-69645.39461633195,127122.6763843774,0.2418720540102411,1.0,OK (mejora significativa),1.0,,,NONE,-0.7215849809801251,REESTRUCTURAR,26871.85068682412,,96517.24530315607,0.12066552619399507,2.6916477668725993,NONE,False,,False,0.8793344738060049,True,0.12066552619399507,True,True,VOLUNTARY_SALE_ACCEPTABLE,26.999999999999996,True,RESTRUCT_EXECUTABLE_CLEAN_TERMS,REESTRUCTURAR,REESTRUCTURAR,NORMAL,pc10_final_clean_baseline_20260221_123550,False,NONE
L000007,SME,305395,1.5,REESTRUCTURAR,REESTRUCTURAR,REESTRUCTURAR,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.140516978140707,0.1,,,0.9964390702977304,1.76196298766595,42913.18253928121,-104147.4272502679,25032.62744039427,43781.51919244701,60412.6517945304,48099.7125,21139.93926250965,0.0,True,,,False,NONE,NONE,0.425,1.1,,0.6619629876659499,,,,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.19,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=171,949€, EVA_post=60,377€; DSCR=1.76, PTI=NA. PD=46.0%, LGD=40.0%, DPD=256.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_ABS,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=171,949€, EVA_post=60,377€; DSCR=1.76, PTI=NA. PD=46.0%, LGD=40.0%, DPD=256. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=171,949€, EVA_post=60,377€; DSCR=1.76, PTI=NA. PD=46.0%, LGD=40.0%, DPD=256. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-46725.435,60376.50239896351,171948.6921834667,-0.00199999999999999,0.2175739257160255,458092.5,256759.7451189557,21139.93926250965,BB,0.46,0.4,0.095,256,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.1409496453374102,-1000000000000.0,balanceado,Banco balanceado,0.140516978140707,147060.6097895491,provided,0.2918060968242418,0.2,-104147.4272502679,171948.6921834667,0.2393530312291077,1.0,OK (mejora significativa),1.0,,,NONE,-0.7081939031757581,REESTRUCTURAR,42913.18253928121,,147060.6097895491,0.140516978140707,2.4736667715980714,NONE,False,,False,0.859483021859293,True,0.140516978140707,True,True,VOLUNTARY_SALE_ACCEPTABLE,26.999999999999996,True,RESTRUCT_EXECUTABLE_CLEAN_TERMS,REESTRUCTURAR,REESTRUCTURAR,NORMAL,pc10_final_clean_baseline_20260221_123550,False,NONE
L000008,Large Corporate,16502163,1.5,REESTRUCTURAR,REESTRUCTURAR,VENDER,False,MACRO_NOT_APPLIED,RC03_MICRO_RESTRUCT_VALUE_UPLIFT,Micro-led,True,0.14697016210854869,0.1,,,0.977739611463694,1.36065987725918,2425325.571251694,-4677502.292288529,1414769.724693134,2474401.378841829,3414343.578229827,2599090.6725,2599090.6725,-4677502.292288529,,True,,False,NONE,NONE,,,,,24753244.5,0.0,1142306.598078011,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.19,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=9,853,854€, EVA_post=3,275,732€; DSCR=1.36, PTI=NA. PD=47.0%, LGD=40.0%, DPD=439.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_ABS,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=9,853,854€, EVA_post=3,275,732€; DSCR=1.36, PTI=NA. PD=47.0%, LGD=40.0%, DPD=439. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",REESTRUCTURAR,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=9,853,854€, EVA_post=3,275,732€; DSCR=1.36, PTI=NA. PD=47.0%, LGD=40.0%, DPD=439. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-2772363.384,3275731.678506808,9853853.796967054,-0.01199999999999999,0.2180517525837469,24753244.5,13874134.04211418,1142306.598078011,A,0.47,0.4,0.082,439,True,REESTRUCTURAR,,,REESTRUCTURAR,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.1461406840671218,-1000000000000.0,balanceado,Banco balanceado,0.1469701621085487,7102827.863540223,provided,0.34145915089695733,0.18,-4677502.292288529,9853853.796967054,0.2509256899469933,1.0,OK (mejora significativa),1.0,,,NONE,-0.6585408491030427,REESTRUCTURAR,2425325.571251694,,7102827.863540223,0.14697016210854869,2.8157719845810005,TIER2_CAPITAL_PRESSURE,True,"TIER2_CAPITAL_PRESSURE(score=2.82|AGE=15m,RECOVERY=14.7%)",False,0.8530298378914513,True,0.14697016210854869,True,True,CAPITAL_MANDATE_EXECUTABLE,16.426395090367198,False,RESTRUCT_BLOCKED_LOW_ACCEPTANCE(16<25),REESTRUCTURAR,VENDER,MANDATE_EXECUTED,pc10_final_clean_baseline_20260221_123550,False,NONE
L000009,Corporate,2541160,1.5,REESTRUCTURAR,REESTRUCTURAR,MANTENER,False,MACRO_NOT_APPLIED,RC_GUARDRAIL_BLOCK,Micro-led; BLOCK: PNL_TOO_NEGATIVE_PRUDENCIAL (Loss > 40% EAD),True,0.15730385903990735,0.1,,,0.9384341660679321,1.482579648828825,399734.274437851,-1029535.15286654,233177.7457428038,407822.7894694102,562741.0064459329,400232.7,0.0,0.0,,False,PNL_TOO_NEGATIVE_PRUDENCIAL (Loss > 40% EAD),True,VENDER,MANTENER,,,,,3811740.0,0.0,175903.2337016619,,,,,,False,False,"Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",NO_ASIGNADO,False,True,False,,,240.0,0.19,0.0,NORMAL,,,,,,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,497,175€, EVA_post=504,217€; DSCR=1.48, PTI=NA. PD=41.0%, LGD=40.0%, DPD=130.","Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).",True,True,PNL_ABS,Micro=REESTRUCTURAR. Evidence: [?],"Macro=REESTRUCTURAR. Evidence: Macro not applied (n_steps=5, top_k=5) => macro_action defaults to micro action (no portfolio steering).","[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,497,175€, EVA_post=504,217€; DSCR=1.48, PTI=NA. PD=41.0%, LGD=40.0%, DPD=130. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",MANTENER,"[BALANCEADO] RESTRUCT supported by value uplift. ΔEVA=1,497,175€, EVA_post=504,217€; DSCR=1.48, PTI=NA. PD=41.0%, LGD=40.0%, DPD=130. | Governance=Micro-led | Convergencia=MACRO_NOT_APPLIED",-439620.6800000001,504216.8145717845,1497175.175596601,-0.01533333333333333,0.2180022544600276,3811740.0,2136471.10760322,175903.2337016619,BB,0.41,0.4,0.065,130,True,REESTRUCTURAR,,,MANTENER,Financial=REESTRUCTURAR | Override=None | PPO=not_used | Final=REESTRUCTURAR,MALO,False,False,SIM,False,,0.0,0.1477657148456938,-1000000000000.0,balanceado,Banco balanceado,0.1573038590399073,1429269.427304391,provided,0.2796773420052451,0.2,-1029535.15286654,1497175.175596601,0.2482522664000886,1.0,OK (mejora significativa),1.0,,,NONE,-0.7203226579947548,REESTRUCTURAR,399734.274437851,,1429269.427304391,0.15730385903990735,2.185043778171277,NONE,False,,False,0.8426961409600927,True,0.15730385903990735,True,True,VOLUNTARY_SALE_ACCEPTABLE,21.303185953152994,False,RESTRUCT_BLOCKED_LOW_ACCEPTANCE(21<25),REESTRUCTURAR,VENDER,FALLBACK_SALE,pc10_final_clean_baseline_20260221_123550,False,NONE
