loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000031,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.38,,-334372
L000099,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.29,,-177883
L000100,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.34,,-328435
L000103,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.30,,-188534
L000136,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.34,,-359408
L000161,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.39,,-224671
L000169,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.41,,-172921
L000190,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.36,,-145291
L000218,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.45,,-199191
L000225,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.29,,-126389
L000232,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.25,,-341611
L000234,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.40,,-142895
L000292,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.36,,-171279
L000296,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.32,,-161098
L000339,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.40,,-157174
L000387,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.24,,-263206
L000419,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.40,,-652299
L000462,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_131957,,,0.41,,-211150
