scenario,posture,total_ead,total_eva_post,total_eva_pre,total_rwa_post,total_rwa_pre,capital_liberado,n_sales,n_restruct,n_mantener
baseline,prudencial,4076826662,748631941.6772287,-711958584.6386319,3404802051.737061,6106588854.0,283032917.0826086,55,0,445
baseline,balanceado,4076826662,725865393.9086113,-711958584.6386319,3392921675.0801964,6106588854.0,283118314.5965794,168,244,88
baseline,desinversion,4076826662,48541.44725008281,-711958584.6386319,508421.20410224644,6106588854.0,641081611.2535694,408,5,87
mild,prudencial,4076826662,734099951.374764,-711958584.6386319,3476399773.427519,6106588854.0,275515156.3051106,11,0,489
mild,balanceado,4076826662,712232959.6782293,-711958584.6386319,3461571681.973506,6106588854.0,275910063.8727818,150,243,107
mild,desinversion,4076826662,46273.72474936006,-711958584.6386319,519759.8166022466,6106588854.0,641080420.6992568,365,6,129
severe,prudencial,4076826662,712689087.6414608,-711958584.6386319,3588620554.242565,6106588854.0,263731974.31953064,1,0,499
severe,balanceado,4076826662,692618686.4556454,-711958584.6386319,3572867944.3245335,6106588854.0,264223956.32592398,50,242,208
severe,desinversion,4076826662,42872.140997914576,-711958584.6386319,536767.7353522464,6106588854.0,641078634.8677881,252,10,238
pricing_crunch,prudencial,4076826662,748631941.6772287,-711958584.6386319,3404802051.737061,6106588854.0,283032917.0826086,55,0,445
pricing_crunch,balanceado,4076826662,725865393.9086113,-711958584.6386319,3392921675.0801964,6106588854.0,283118314.5965794,168,244,88
pricing_crunch,desinversion,4076826662,48541.44725008281,-711958584.6386319,508421.20410224644,6106588854.0,641081611.2535694,408,5,87
