scenario,posture,total_ead,total_eva,total_rwa,n_sales,n_restruct
baseline,prudencial,4076826662,0,0,55,0
baseline,balanceado,4076826662,0,0,168,244
baseline,desinversion,4076826662,0,0,408,5
mild,prudencial,4076826662,0,0,11,0
mild,balanceado,4076826662,0,0,150,243
mild,desinversion,4076826662,0,0,365,6
severe,prudencial,4076826662,0,0,1,0
severe,balanceado,4076826662,0,0,50,242
severe,desinversion,4076826662,0,0,252,10
pricing_crunch,prudencial,4076826662,0,0,55,0
pricing_crunch,balanceado,4076826662,0,0,168,244
pricing_crunch,desinversion,4076826662,0,0,408,5
